"LN","Artist","Count","Tag 1","Tag 2","Tag 3","Tag 4","Tag 5"
"395","Storm Corrosion","3","progressive rock","experimental","ambient","psychedelic rock","psychedelic folk"
"396","Streetlight Manifesto","15","ska","ska punk","punk","ska-punk","skacore"
"397","Suede","5","britpop","indie","british","alternative","rock"
"398","Sufjan Stevens","12","indie","folk","singer-songwriter","alternative","indie rock"
"399","Sun Araw","6","psychedelic","drone","experimental","psychedelic rock","tropical"
"400","Supertramp","6","classic rock","progressive rock","rock","70s","pop"
"401","Suzanne Vega","6","female vocalists","singer-songwriter","folk","pop","alternative"
"402","Sylvan Esso","8","electronic","female vocalists","electropop","pop","indie"
"403","System of a Down","7","metal","alternative metal","rock","nu metal","alternative"
"404","T-Bone Walker","6","blues","classic blues","texas blues","rhythm and blues","delta blues"
"405","Talking Heads","7","new wave","post-punk","80s","rock","alternative"
"406","Tame Impala","17","psychedelic rock","psychedelic","indie rock","australian","rock"
"407","Tatiana Nikolayeva","4","classical","piano","pianist","classical piano","t nikolaeva"
"408","Tears for Fears","12","new wave","80s","pop","synth pop","rock"
"409","Tegan and Sara","3","indie","female vocalists","canadian","indie pop","alternative"
"410","Tennessee Ernie Ford","8","country","classic country","50s","oldies","americana"
"411","Tex Beneke","3","jazz","swing","oldies","classic swing","40s"
"412","The Airborne Toxic Event","4","indie","indie rock","rock","american","indie pop"
"413","The Animals","7","classic rock","60s","rock","british","oldies"
"414","The Archies","1","60s","oldies","pop","bubblegum","classic rock"
"415","The Avalanches","1","electronic","turntablism","electronica","australian","dance"
"416","The Bastard Fairies","3","indie","female vocalists","alternative","experimental","electronic"
"417","The Black Heart Procession","5","indie","indie rock","post-rock","alternative","rock"
"418","The Black Keys","20","blues rock","blues","rock","indie","indie rock"
"419","The Bloody Beetroots","5","electro","electronic","dance","italian","indie"
"420","The Bravery","7","indie","indie rock","rock","alternative","alternative rock"
"421","The Chemical Brothers","2","electronic","dance","big beat","electronica","techno"
"422","The Cyrkle","4","60s","soft rock","oldies","classic rock","rock"
"423","The Dead Weather","17","garage rock","rock","alternative","stoner rock","jack white"
"424","The Devin Townsend Band","1","progressive metal","metal","progressive rock","canadian","progressive"
"425","The Dø","3","indie","female vocalists","folk","french","indie pop"
"426","The Doors","12","classic rock","psychedelic rock","rock","psychedelic","60s"
"427","The Dresden Dolls","4","punk cabaret","alternative","cabaret","female vocalists","indie"
"428","The Fratellis","8","indie","indie rock","british","rock","alternative"
"429","The Game Music Committee","3","japanese","j-pop","dance","remix","vocaloid"
"430","The Glitch Mob","7","glitch","electronic","glitch-hop","idm","hip-hop"
"431","The Hush Sound","8","indie","piano rock","indie rock","female vocalists","alternative"
"432","The Ink Spots","6","jazz","swing","40s","oldies","vocal jazz"
"433","The Irradiates","11","surf","sci-fi","space","radioactive","lesser known yet streamable artists"
"434","The Kills","9","indie rock","garage rock","indie","alternative","rock"
"435","The Lonely Island","19","comedy","rap","hip-hop","parody","funny"
"436","The Lovin' Spoonful","6","60s","classic rock","rock","oldies","pop"
"437","The Mamas & the Papas","4","classic rock","60s","oldies","rock","pop"
"438","The Marcus Hedges Trend Orchestra","2","video game music","orchestra","crash bandicoot"," "," "
"439","The Mars Volta","53","progressive rock","experimental","rock","alternative","progressive"
"440","The McGuire Sisters","5","oldies","female vocalists","doo wop","50s","60s"
"441","The Night Marchers","3","garage punk","punk","punk rock","garage rock","rock"
"442","The Notorious B.I.G.","6","hip-hop","rap","hip hop","gangsta rap","east coast rap"
"443","The Offspring","5","punk rock","punk","rock","alternative","alternative rock"
"444","The Olivia Tremor Control","20","psychedelic","elephant 6","indie","experimental","lo-fi"
"445","The Orwells","6","garage rock","indie","indie rock","lo-fi","rock"
"446","The Pharcyde","7","hip-hop","hip hop","rap","underground hip-hop","alternative rap"
"447","The Raconteurs","4","rock","alternative rock","alternative","indie rock","indie"
"448","The Residents","6","experimental","avant-garde","electronic","post-punk","avantgarde"
"449","The Rolling Stones","5","classic rock","rock","british","60s","blues"
"450","The Shadows","4","instrumental","classic rock","60s","rock","oldies"
"451","The Shins","3","indie","indie rock","indie pop","alternative","rock"
"452","The Slew","3","turntablism","rock","trip-hop","electronic","hip-hop"
"453","The Smashing Pumpkins","7","alternative rock","alternative","rock","grunge","90s"
"454","The Smiths","3","indie","80s","post-punk","new wave","alternative"
"455","The Sound of Animals Fighting","9","experimental","progressive rock","post-hardcore","progressive","indie"
"456","The String Cheese Incident","4","jam","jam band","bluegrass","rock","psychedelic"
"457","The Strokes","7","indie rock","indie","rock","alternative","alternative rock"
"458","The Surf Zombies","3","surf rock","surf","instrumental rock","instrumental surf","rock"
"459","The Swingle Singers","2","a cappella","jazz","classical","vocal","choir"
"460","The Ventures","14","surf","surf rock","instrumental","60s","rock"
"461","The Vines","5","rock","indie","indie rock","alternative","alternative rock"
"462","The Wallflowers","7","rock","alternative","alternative rock","90s","indie"
"463","The Wombats","2","indie","british","indie rock","britpop","rock"
"464","The xx","1","indie","electronic","british","post-punk","dance"
"465","Thelonious Monk","8","jazz","bebop","piano","jazz piano","free jazz"
"466","Thelonious Monk Trio","6","jazz","monk","piano","jazz piano","thelonious monk"
"467","Them Crooked Vultures","3","hard rock","stoner rock","rock","alternative rock","supergroup"
"468","Thomas Barrandon","4","electro","electronic","synth","techno","french"
"469","Tilly and the Wall","4","indie","indie pop","female vocalists","indie rock","folk"
"470","Tindersticks","2","indie","chamber pop","alternative","indie rock","rock"
"471","Tiny Tim","10","folk","experimental","ukulele","people who are freakier and folkier than motherfucking devendra banhart","avantgarde"
"472","Tom Jones","3","pop","oldies","classic rock","male vocalists","rock"
"473","Tom Waits","7","blues","singer-songwriter","experimental","rock","alternative"
"474","Toquinho","1","bossa nova","mpb","brasil","brazilian","brazil"
"475","Torley Wong","11","watermelon","piano","techno","watermelon guru","ambient"
"476","Torres","10","indie","folk","alternative","indie pop","american"
"477","Tosca","5","downtempo","chillout","electronic","trip-hop","lounge"
"478","Toto","6","rock","classic rock","80s","progressive rock","pop"
"479","Tove Lo","4","pop","swedish","electronic","female vocalists","indie"
"480","Troy Samuela","3"," "," "," "," "," "
"481","Truckfighters","20","stoner rock","desert rock","stoner","fuzz rock","swedish"
"482","Tumbao","3","reggae","polish","polish reggae","roots","punk"
"483","tUnE-yArDs","7","experimental","freak folk","indie","folk","female vocalists"
"484","twenty one pilots","25","electronic","indie","indie pop","alternative","rap"
"485","Two Door Cinema Club","2","indie","electronic","british","alternative","synth indie rock"
"486","Tyler, the Creator","5","hip-hop","rap","ofwgkta","underground hip-hop","swag"
"487","Underworld","1","electronic","techno","electronica","dance","trance"
"488","Unknown Mortal Orchestra","11","lo-fi","psychedelic","indie rock","indie","alternative"
"489","USSR State Academic Symphony Orchestra","7"," "," "," "," "," "
"490","Valentina Lisitsa","2","classical","piano","classical pianist","pianist","ukrainian"
"491","Vampire Weekend","4","indie","indie rock","indie pop","alternative","rock"
"492","Vermillion Lies","10","dark cabaret","cabaret","female vocalists","alternative","circus"
"493","Vince de Vera & Jason Garner","6"," "," "," "," "," "
"494","Vinícius de Moraes","12","bossa nova","mpb","brazilian","brasil","samba"
"495","Washed Out","7","chillwave","electronic","lo-fi","chillout","balearic"
"496","Weedeater","4","sludge","stoner metal","doom metal","stoner","stoner rock"
"497","Weezer","17","rock","alternative","alternative rock","indie","indie rock"
"498","Why?","5","indie","hip-hop","experimental","anticon","indie rock"
"499","Wolfgang Amadeus Mozart","2","classical","instrumental","composers","classic","piano"
"500","Woody Guthrie","3","folk","singer-songwriter","country","americana","political"
"501","X Ambassadors","4","indie","pop","electronic","indie pop","alternative"
"502","Yeasayer","2","experimental","psychedelic","indie","indie rock","folk"
"503","Younger Brother","4","psytrance","ambient","psychedelic","psychill","electronic"
"504","Yuna","7","folk","malaysian","indie","female vocalists","acoustic"
"505","Zeds Dead","3","dubstep","electronic","grime","electro","massive dubstep"
"506","Zox","6","ska","alternative","reggae","indie","poppy ska-ey reggae-ey music with a violin"
"507","Zs","2","experimental","avant-garde","jazz","noise","post-rock"
"508","Алексей Владимирович Станчинский","5","classical","russian","russian classical","romantic","romantic classical"
"509","Николай Карлович Метнер","5","classical","russian","piano","romantic","russian classical"
"510","Արամ Խաչատրյան","4","classical","armenian","contemporary classical","russian","modern classical"
"511","久石譲","5","soundtrack","japanese","instrumental","anime","classical"
"512","植松伸夫","1","video game music","soundtrack","final fantasy","japanese","game music"
